Property Type,Listing IDs,Occupancy,Nightly Rate,Monthly Income
"    'Guest suite',","   '21675225',","    16,","    78,","    384,"
"    'Guest suite',","   '22013246',","    34,","    123,","    1271,"
"    'Guest suite',","   '22069161',","    56,","    54,","    914,"
"    'Guest suite',","   '22080205',","    46,","    88,","    1225,"
"    'Guest suite',","   '22326832',","    74,","    64,","    1445,"
"    'Guest suite',","   '22631325',","    62,","    91,","    1714,"
"    'Guest suite',","   '22910129',","    44,","    59,","    797,"
"    'Guest suite',","   '23042055',","    64,","    47,","    913,"
"    'Guest suite',","   '23771739',","    58,","    46,","    809,"
"    'Guest suite',","   '24427205',","    63,","    50,","    954,"
"    'Guest suite',","   '25325552',","    44,","    49,","    649,"
"    'Guest suite',","   '26133975',","    78,","    44,","    1038,"
"    'Guest suite',","   '26668572',","    83,","    56,","    1414,"
"    'Guest suite',","   '26923873',","    3,","    86,","    69,"
"    'Guest suite',","   '27001478',","    40,","    47,","    568,"
"    'Guest suite',","   '27224575',","    4,","    63,","    68,"
"    'Guest suite',","   '27488368',","    16,","    65,","    309,"
"    'Guest suite',","   '27730157',","    33,","    41,","    410,"
"    'Guest suite',","   '28407472',","    80,","    38,","    925,"
"    'Guest suite',","   '28613451',","    79,","    54,","    1305,"
"    'Guest suite',","   '28783368',","    40,","    40,","    483,"
"    'Guest suite',","   '28915657',","    87,","    36,","    948,"
"    'Guest suite',","   '29521715',","    80,","    32,","    779,"
"    'Guest suite',","   '31199640',","    60,","    58,","    1061,"
"    'Guest suite',","   '31231687',","    96,","    49,","    1425,"
"    'Guest suite',","   '34546545',","    92,","    49,","    1368,"
"    'Guest suite',","   '34804372',","    68,","    37,","    765,"
"    'Guest suite',","   '35133282',","    45,","    75,","    1025,"
"    'Guest suite',","   '35579822',","    74,","    50,","    1121,"
"    'Guest suite',","   '36265183',","    55,","    82,","    1360,"
"    'Guest suite',","   '37041378',","    16,","    79,","    375,"
"    'Guest suite',","   '37204307',","    68,","    59,","    1214,"
"    'Guest suite',","   '37969946',","    72,","    57,","    1240,"
"    'Guest suite',","   '38162515',","    86,","    36,","    942,"
"    'Guest suite',","   '38601814',","    65,","    48,","    952,"
